date,account_id,ad_id,ad_name,spend,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长
2026-02-03,1379725066317604,120237598152330510,PIC06-立绘卡牌展示-Vincent-英语,0.3,521,23,0.0,0.0,0.0
2026-02-03,1379725066317604,120237598152340510,PIC09-挑战强弱-Vincent-英语,0.5,691,20,0.0,0.0,0.0
2026-02-03,1379725066317604,120237598152430510,PIC08-升级进化-Vincent-英语,2.68,5360,38,0.0,0.0,0.0
2026-02-03,1379725066317604,120237598152440510,PIC03-登录送连抽场景版-Vincent-英语,0.75,1256,28,0.0,0.0,0.0
2026-02-03,1379725066317604,120237598152460510,PIC07-升级祭司-Vincent-英语,0.11,207,3,0.0,0.0,0.0
2026-02-03,1379725066317604,120237598152470510,PIC12-战斗PVP-Vincent-英语,1.04,1914,27,0.0,0.0,0.0
2026-02-03,1379725066317604,120237598152500510,PIC11-战斗PVE-Vincent-英语,0.06,72,4,0.0,0.0,0.0
2026-02-03,1379725066317604,120237598152510510,PIC02-登录送连抽扁平版-Vincent-英语,0.44,364,16,0.0,0.0,0.0
2026-02-03,1379725066317604,120237598152520510,PIC01-打造阵容-Vincent-英语,1.98,3663,61,0.0,0.0,0.0
2026-02-03,1379725066317604,120237598152530510,PIC04-合成场景版-Vincent-英语,0.11,178,6,0.0,0.0,0.0
2026-02-03,1379725066317604,120238770649730510,VID17-魔王阵容-Vincent-英语,2.42,2916,38,192.0,119.0,6.0
2026-02-03,1379725066317604,120238770649810510,VID15-卡牌滚动-Abbey-英语,21.12,17523,808,3622.0,1746.0,3.0
2026-02-03,1379725066317604,120239024373200510,PIC16-4级蛇女-Vincent-英语,1.44,1548,45,0.0,0.0,0.0
2026-02-03,1379725066317604,120239024373210510,PIC20-合成厨师长-Vincent-英语,1.72,2230,104,0.0,0.0,1.0
2026-02-03,1379725066317604,120239024373230510,PIC34-神族阵容-Vincent-英语,15.1,18270,478,0.0,0.0,1.0
2026-02-03,1379725066317604,120239024373240510,PIC29-世界观-Vincent-英语,2.75,4372,75,0.0,0.0,0.0
2026-02-03,1379725066317604,120239024373250510,PIC21-合成火法师-Vincent-英语,11.41,16883,458,0.0,0.0,0.0
2026-02-03,1379725066317604,120239024373260510,PIC26-升级蛇女佛耶哥-Vincent-通用,3.47,5674,77,0.0,0.0,1.0
2026-02-03,1379725066317604,120239279840120510,PIC08-升级进化-Vincent-英语,2.35,3981,45,0.0,0.0,0.0
2026-02-03,1379725066317604,120239279840130510,PIC12-战斗PVP-Vincent-英语,11.29,12432,286,2.0,1.0,2.0
2026-02-03,1379725066317604,120239279840140510,PIC03-登录送连抽场景版-Vincent-英语,2.72,1812,49,0.0,0.0,1.0
2026-02-03,1379725066317604,120239279840150510,PIC06-立绘卡牌展示-Vincent-英语,15.22,13845,387,0.0,0.0,0.0
2026-02-03,1379725066317604,120239279840160510,PIC02-登录送连抽扁平版-Vincent-英语,1.81,1100,42,0.0,0.0,0.0
2026-02-03,1379725066317604,120239294231690510,PIC26-升级蛇女佛耶哥-Vincent-通用,0.44,856,13,0.0,0.0,0.0
2026-02-03,1379725066317604,120239294231700510,PIC21-合成火法师-Vincent-英语,0.68,1290,10,1.0,0.0,1.0
2026-02-03,1379725066317604,120239294231720510,PIC29-世界观-Vincent-英语,1.12,2420,20,0.0,0.0,0.0
2026-02-03,1379725066317604,120239294231730510,PIC34-神族阵容-Vincent-英语,0.9,1334,46,0.0,0.0,0.0
2026-02-03,1379725066317604,120239294231740510,PIC20-合成厨师长-Vincent-英语,0.11,271,5,0.0,0.0,0.0
2026-02-03,1379725066317604,120239294231750510,PIC16-4级蛇女-Vincent-英语,0.25,331,4,0.0,0.0,0.0
2026-02-03,1379725066317604,120239297880900510,PIC34-神族阵容-Vincent-英语,4.25,5422,107,1.0,0.0,6.0
2026-02-03,1379725066317604,120239297880920510,PIC21-合成火法师-Vincent-英语,2.69,3638,92,0.0,0.0,0.0
2026-02-09,1379725066317604,120237593576530510,PIC01-打造阵容-Vincent-英语,27.12,2947,31,2.0,4.0,4.0
