day,os_name,campaign_id,campaign_name,installs,spend,impressions,clicks
2026-02-09,android,120239366594720510,09-BR-CBT1-PIC,416,298.56,207106.0,4217.0
2026-02-10,android,120239366594720510,09-BR-CBT1-PIC,283,298.56,207106.0,4217.0
2026-02-09,android,6931591409752,,169,0.0,0.0,0.0
2026-02-10,android,6931591409752,,167,0.0,0.0,0.0
2026-02-09,android,120239366394730510,08-BR-CBT1-VID,107,113.38,65436.0,932.0
2026-02-03,android,120238770649640510,11-ID-技术测试,106,103.26,118148.0,3189.0
2026-02-09,android,6939195938352,,105,0.0,0.0,0.0
2026-02-10,android,6970072321780,,90,0.0,0.0,0.0
2026-02-10,android,6939195938352,,77,0.0,0.0,0.0
2026-02-03,android,120238770649640510,11-ID-技术测试,76,103.26,118148.0,3189.0
2026-02-10,android,6931593682152,,73,0.0,0.0,0.0
2026-02-10,android,6970072321780,,71,0.0,0.0,0.0
2026-02-09,android,6931593682152,,70,0.0,0.0,0.0
2026-02-09,android,120239366594720510,09-BR-CBT1-PIC,63,298.56,207106.0,4217.0
2026-02-09,android,6931593682152,,63,0.0,0.0,0.0
2026-02-09,android,120238607155630510,01-US-CBT1-PIC,61,1538.84,165848.0,2135.0
2026-02-10,android,120238607155630510,01-US-CBT1-PIC,60,1538.84,165848.0,2135.0
2026-02-10,android,120238607155630510,01-US-CBT1-PIC,60,1538.84,165848.0,2135.0
2026-02-10,android,6939195938352,,59,0.0,0.0,0.0
2026-02-09,android,120238648236360510,02-US-CBT1-VID,57,1063.81,47951.0,999.0
2026-02-09,android,6939195938352,,55,0.0,0.0,0.0
2026-02-10,android,6931593682152,,51,0.0,0.0,0.0
2026-02-10,android,120238648236360510,02-US-CBT1-VID,49,1063.81,47951.0,999.0
2026-02-10,android,6941413175152,,47,0.0,0.0,0.0
2026-02-09,android,6939217868352,,46,0.0,0.0,0.0
2026-02-10,android,120239366394730510,08-BR-CBT1-VID,46,113.38,65436.0,932.0
2026-02-10,android,120238607155630510,01-US-CBT1-PIC,44,1538.84,165848.0,2135.0
2026-02-10,android,120241467475180572,,42,0.0,0.0,0.0
2026-02-10,android,6931591409752,,41,0.0,0.0,0.0
2026-02-09,android,120238607155630510,01-US-CBT1-PIC,36,1538.84,165848.0,2135.0
2026-02-10,android,6941413175152,,34,0.0,0.0,0.0
2026-02-09,android,120239366394730510,08-BR-CBT1-VID,32,113.38,65436.0,932.0
2026-02-03,android,120238770649640510,11-ID-技术测试,31,103.26,118148.0,3189.0
2026-02-09,android,6931591409752,,31,0.0,0.0,0.0
2026-02-09,android,6939217868352,,31,0.0,0.0,0.0
2026-02-11,android,120239366594720510,09-BR-CBT1-PIC,31,298.56,207106.0,4217.0
2026-02-09,android,6970072321780,,28,0.0,0.0,0.0
2026-02-10,android,120239366594720510,09-BR-CBT1-PIC,28,298.56,207106.0,4217.0
2026-02-10,android,6939217868352,,28,0.0,0.0,0.0
2026-02-10,android,120240257805260572,,28,0.0,0.0,0.0
2026-02-10,android,6939217868352,,28,0.0,0.0,0.0
2026-02-10,android,6970072321780,,27,0.0,0.0,0.0
2026-02-09,android,120238648236360510,02-US-CBT1-VID,24,1063.81,47951.0,999.0
2026-02-09,android,6970072321780,,23,0.0,0.0,0.0
2026-02-09,android,120238607155630510,01-US-CBT1-PIC,21,1538.84,165848.0,2135.0
2026-02-10,android,6939217868352,,20,0.0,0.0,0.0
2026-02-09,android,120239366394730510,08-BR-CBT1-VID,19,113.38,65436.0,932.0
2026-02-09,android,6939217868352,,19,0.0,0.0,0.0
2026-02-10,android,120240257805260572,,19,0.0,0.0,0.0
2026-02-09,android,,,17,0.0,0.0,0.0
2026-02-09,android,6970072321780,,17,0.0,0.0,0.0
2026-02-10,android,120238648236360510,02-US-CBT1-VID,16,1063.81,47951.0,999.0
2026-02-12,android,120239366594720510,09-BR-CBT1-PIC,15,298.56,207106.0,4217.0
2026-02-10,android,120239366394730510,08-BR-CBT1-VID,14,113.38,65436.0,932.0
2026-02-10,android,120238648236360510,02-US-CBT1-VID,13,1063.81,47951.0,999.0
2026-02-11,android,6931591409752,,13,0.0,0.0,0.0
2026-02-11,android,120238607155630510,01-US-CBT1-PIC,13,1538.84,165848.0,2135.0
2026-02-11,android,6970072321780,,13,0.0,0.0,0.0
2026-02-09,android,,,12,0.0,0.0,0.0
2026-02-10,android,6939195938352,,12,0.0,0.0,0.0
2026-02-09,android,120239366594720510,09-BR-CBT1-PIC,11,298.56,207106.0,4217.0
2026-02-09,android,6931591409752,,11,0.0,0.0,0.0
2026-02-10,android,6931591409752,,11,0.0,0.0,0.0
2026-02-11,android,120239366394730510,08-BR-CBT1-VID,10,113.38,65436.0,932.0
2026-02-04,android,120238770649640510,11-ID-技术测试,9,103.26,118148.0,3189.0
2026-02-11,android,120238648236360510,02-US-CBT1-VID,9,1063.81,47951.0,999.0
2026-02-09,android,120238648236360510,02-US-CBT1-VID,8,1063.81,47951.0,999.0
2026-02-10,android,,,8,0.0,0.0,0.0
2026-02-10,android,6931593682152,,8,0.0,0.0,0.0
2026-02-11,android,6931593682152,,8,0.0,0.0,0.0
2026-02-11,android,6939195938352,,8,0.0,0.0,0.0
2026-02-11,android,6941413175152,,8,0.0,0.0,0.0
2026-02-03,android,,,7,0.0,0.0,0.0
2026-02-09,android,,,7,0.0,0.0,0.0
2026-02-09,android,,,7,0.0,0.0,0.0
2026-02-09,android,6931593682152,,7,0.0,0.0,0.0
2026-02-11,android,6941413175152,,7,0.0,0.0,0.0
2026-02-09,android,6939195938352,,6,0.0,0.0,0.0
2026-02-10,android,120239366394730510,08-BR-CBT1-VID,6,113.38,65436.0,932.0
2026-02-10,android,120239366594720510,09-BR-CBT1-PIC,6,298.56,207106.0,4217.0
2026-02-11,android,120240257805260572,,6,0.0,0.0,0.0
2026-02-11,android,6939195938352,,6,0.0,0.0,0.0
2026-02-12,android,120238607155630510,01-US-CBT1-PIC,6,1538.84,165848.0,2135.0
2026-02-12,android,6970072321780,,6,0.0,0.0,0.0
2026-02-13,android,120239366594720510,09-BR-CBT1-PIC,6,298.56,207106.0,4217.0
2026-02-14,android,120239366594720510,09-BR-CBT1-PIC,6,298.56,207106.0,4217.0
2026-02-14,android,6931591409752,,6,0.0,0.0,0.0
2026-02-10,android,,,5,0.0,0.0,0.0
2026-02-10,android,120241467475180572,,5,0.0,0.0,0.0
2026-02-10,android,6941413175152,,5,0.0,0.0,0.0
2026-02-10,android,,,5,0.0,0.0,0.0
2026-02-10,android,,,5,0.0,0.0,0.0
2026-02-12,android,120238648236360510,02-US-CBT1-VID,5,1063.81,47951.0,999.0
2026-02-13,android,6931591409752,,5,0.0,0.0,0.0
2026-02-13,android,6939195938352,,5,0.0,0.0,0.0
2026-02-21,android,,,5,0.0,0.0,0.0
2026-02-02,android,,,4,0.0,0.0,0.0
2026-02-04,android,120238770649640510,11-ID-技术测试,4,103.26,118148.0,3189.0
2026-02-04,android,120238770649640510,11-ID-技术测试,4,103.26,118148.0,3189.0
2026-02-09,android,120240257805260572,,4,0.0,0.0,0.0
2026-02-09,android,,,4,0.0,0.0,0.0
2026-02-10,android,120240257805260572,,4,0.0,0.0,0.0
2026-02-11,android,,,4,0.0,0.0,0.0
2026-02-12,android,120239366394730510,08-BR-CBT1-VID,4,113.38,65436.0,932.0
2026-02-18,android,,,4,0.0,0.0,0.0
2026-02-02,android,,,3,0.0,0.0,0.0
2026-02-03,android,120237598152320510,ID_MAI-技术测试,3,7.97,14226.0,226.0
2026-02-03,android,120237598152320510,ID_MAI-技术测试,3,7.97,14226.0,226.0
2026-02-04,android,,,3,0.0,0.0,0.0
2026-02-07,android,120238770649640510,11-ID-技术测试,3,103.26,118148.0,3189.0
2026-02-09,android,120241467475180572,,3,0.0,0.0,0.0
2026-02-09,android,,,3,0.0,0.0,0.0
2026-02-09,android,120237593576510510,03-US-CBT1-mvp素材,3,88.18,9334.0,79.0
2026-02-11,android,6931591409752,,3,0.0,0.0,0.0
2026-02-11,android,6931591409752,,3,0.0,0.0,0.0
2026-02-11,android,120238607155630510,01-US-CBT1-PIC,3,1538.84,165848.0,2135.0
2026-02-11,android,120238648236360510,02-US-CBT1-VID,3,1063.81,47951.0,999.0
2026-02-11,android,6970072321780,,3,0.0,0.0,0.0
2026-02-11,android,120238607155630510,01-US-CBT1-PIC,3,1538.84,165848.0,2135.0
2026-02-12,android,120238648236360510,02-US-CBT1-VID,3,1063.81,47951.0,999.0
2026-02-12,android,6970072321780,,3,0.0,0.0,0.0
2026-02-13,android,6931593682152,,3,0.0,0.0,0.0
2026-02-13,android,6939217868352,,3,0.0,0.0,0.0
2026-02-13,android,6970072321780,,3,0.0,0.0,0.0
2026-02-14,android,6931593682152,,3,0.0,0.0,0.0
2026-02-14,android,6931593682152,,3,0.0,0.0,0.0
2026-02-14,android,120238648236360510,02-US-CBT1-VID,3,1063.81,47951.0,999.0
2026-02-17,android,,,3,0.0,0.0,0.0
2026-02-19,android,,,3,0.0,0.0,0.0
2026-02-22,android,,,3,0.0,0.0,0.0
2026-02-05,android,120238770649640510,11-ID-技术测试,2,103.26,118148.0,3189.0
2026-02-06,android,,,2,0.0,0.0,0.0
2026-02-08,android,,,2,0.0,0.0,0.0
2026-02-09,android,120241467475180572,,2,0.0,0.0,0.0
2026-02-09,android,120237593576510510,03-US-CBT1-mvp素材,2,88.18,9334.0,79.0
2026-02-10,android,6939195938352,,2,0.0,0.0,0.0
2026-02-10,android,6931591409752,,2,0.0,0.0,0.0
2026-02-10,android,,,2,0.0,0.0,0.0
2026-02-10,android,120241467475180572,,2,0.0,0.0,0.0
2026-02-10,android,,,2,0.0,0.0,0.0
2026-02-11,android,,,2,0.0,0.0,0.0
2026-02-11,android,,,2,0.0,0.0,0.0
2026-02-11,android,,,2,0.0,0.0,0.0
2026-02-11,android,6931593682152,,2,0.0,0.0,0.0
2026-02-11,android,6939217868352,,2,0.0,0.0,0.0
2026-02-11,android,6939217868352,,2,0.0,0.0,0.0
2026-02-11,android,6941413175152,,2,0.0,0.0,0.0
2026-02-11,android,6970072321780,,2,0.0,0.0,0.0
2026-02-11,android,,,2,0.0,0.0,0.0
2026-02-12,android,120239366594720510,09-BR-CBT1-PIC,2,298.56,207106.0,4217.0
2026-02-12,android,,,2,0.0,0.0,0.0
2026-02-12,android,6931591409752,,2,0.0,0.0,0.0
2026-02-12,android,6931591409752,,2,0.0,0.0,0.0
2026-02-12,android,6931593682152,,2,0.0,0.0,0.0
2026-02-12,android,6941413175152,,2,0.0,0.0,0.0
2026-02-12,android,120240257805260572,,2,0.0,0.0,0.0
2026-02-12,android,6939217868352,,2,0.0,0.0,0.0
2026-02-12,android,6970072321780,,2,0.0,0.0,0.0
2026-02-12,android,120238607155630510,01-US-CBT1-PIC,2,1538.84,165848.0,2135.0
2026-02-13,android,6931593682152,,2,0.0,0.0,0.0
2026-02-13,android,6939195938352,,2,0.0,0.0,0.0
2026-02-13,android,120238607155630510,01-US-CBT1-PIC,2,1538.84,165848.0,2135.0
2026-02-14,android,120239366394730510,08-BR-CBT1-VID,2,113.38,65436.0,932.0
2026-02-14,android,120238607155630510,01-US-CBT1-PIC,2,1538.84,165848.0,2135.0
2026-02-14,android,6970072321780,,2,0.0,0.0,0.0
2026-02-15,android,6941413175152,,2,0.0,0.0,0.0
2026-02-16,android,6939217868352,,2,0.0,0.0,0.0
2026-02-17,android,,,2,0.0,0.0,0.0
2026-02-17,android,,,2,0.0,0.0,0.0
2026-02-18,android,,,2,0.0,0.0,0.0
2026-02-18,android,,,2,0.0,0.0,0.0
2026-02-19,android,,,2,0.0,0.0,0.0
2026-02-22,android,,,2,0.0,0.0,0.0
2026-02-24,android,,,2,0.0,0.0,0.0
2026-02-26,android,,,2,0.0,0.0,0.0
2026-02-28,android,,,2,0.0,0.0,0.0
2026-02-02,android,,,1,0.0,0.0,0.0
2026-02-03,android,120238770649640510,11-ID-技术测试,1,103.26,118148.0,3189.0
2026-02-03,android,,,1,0.0,0.0,0.0
2026-02-03,android,120237598152320510,ID_MAI-技术测试,1,7.97,14226.0,226.0
2026-02-03,android,,,1,0.0,0.0,0.0
2026-02-03,android,120238770649640510,11-ID-技术测试,1,103.26,118148.0,3189.0
2026-02-03,android,,,1,0.0,0.0,0.0
2026-02-03,android,120238770649640510,11-ID-技术测试,1,103.26,118148.0,3189.0
2026-02-04,android,,,1,0.0,0.0,0.0
2026-02-04,android,,,1,0.0,0.0,0.0
2026-02-04,android,,,1,0.0,0.0,0.0
2026-02-04,android,,,1,0.0,0.0,0.0
2026-02-05,android,120238770649640510,11-ID-技术测试,1,103.26,118148.0,3189.0
2026-02-05,android,,,1,0.0,0.0,0.0
2026-02-05,windows,,,1,0.0,0.0,0.0
2026-02-06,android,,,1,0.0,0.0,0.0
2026-02-07,android,120238770649640510,11-ID-技术测试,1,103.26,118148.0,3189.0
2026-02-07,android,120238770649640510,11-ID-技术测试,1,103.26,118148.0,3189.0
2026-02-08,android,,,1,0.0,0.0,0.0
2026-02-08,android,,,1,0.0,0.0,0.0
2026-02-08,android,,,1,0.0,0.0,0.0
2026-02-09,android,120238607155630510,01-US-CBT1-PIC,1,1538.84,165848.0,2135.0
2026-02-09,android,6970072321780,,1,0.0,0.0,0.0
2026-02-09,android,120239366594720510,09-BR-CBT1-PIC,1,298.56,207106.0,4217.0
2026-02-09,android,120238607155630510,01-US-CBT1-PIC,1,1538.84,165848.0,2135.0
2026-02-09,android,,,1,0.0,0.0,0.0
2026-02-09,android,120238607155630510,01-US-CBT1-PIC,1,1538.84,165848.0,2135.0
2026-02-09,android,120241467475180572,,1,0.0,0.0,0.0
2026-02-09,android,,,1,0.0,0.0,0.0
2026-02-09,android,6931591409752,,1,0.0,0.0,0.0
2026-02-09,android,6939195938352,,1,0.0,0.0,0.0
2026-02-09,android,120239366394730510,08-BR-CBT1-VID,1,113.38,65436.0,932.0
2026-02-09,android,,,1,0.0,0.0,0.0
2026-02-09,android,120237593576510510,03-US-CBT1-mvp素材,1,88.18,9334.0,79.0
2026-02-09,android,6931591409752,,1,0.0,0.0,0.0
2026-02-09,android,6931593682152,,1,0.0,0.0,0.0
2026-02-09,android,120239366594720510,09-BR-CBT1-PIC,1,298.56,207106.0,4217.0
2026-02-09,android,120238648236360510,02-US-CBT1-VID,1,1063.81,47951.0,999.0
2026-02-09,android,6931591409752,,1,0.0,0.0,0.0
2026-02-10,android,,,1,0.0,0.0,0.0
2026-02-10,android,120241467475180572,,1,0.0,0.0,0.0
2026-02-10,android,120238607155630510,01-US-CBT1-PIC,1,1538.84,165848.0,2135.0
2026-02-10,android,6939195938352,,1,0.0,0.0,0.0
2026-02-10,android,120239366594720510,09-BR-CBT1-PIC,1,298.56,207106.0,4217.0
2026-02-10,android,120238607155630510,01-US-CBT1-PIC,1,1538.84,165848.0,2135.0
2026-02-10,android,6941413175152,,1,0.0,0.0,0.0
2026-02-10,android,6970072321780,,1,0.0,0.0,0.0
2026-02-10,android,120239150858680572,,1,0.0,0.0,0.0
2026-02-10,android,120237593576510510,03-US-CBT1-mvp素材,1,88.18,9334.0,79.0
2026-02-10,android,120237593576510510,03-US-CBT1-mvp素材,1,88.18,9334.0,79.0
2026-02-10,android,120239366594720510,09-BR-CBT1-PIC,1,298.56,207106.0,4217.0
2026-02-10,android,6931593682152,,1,0.0,0.0,0.0
2026-02-10,android,,,1,0.0,0.0,0.0
2026-02-11,android,120239366594720510,09-BR-CBT1-PIC,1,298.56,207106.0,4217.0
2026-02-11,android,120239366394730510,08-BR-CBT1-VID,1,113.38,65436.0,932.0
2026-02-11,android,,,1,0.0,0.0,0.0
2026-02-11,android,,,1,0.0,0.0,0.0
2026-02-11,android,120241467475180572,,1,0.0,0.0,0.0
2026-02-11,android,6939217868352,,1,0.0,0.0,0.0
2026-02-11,android,120240257805260572,,1,0.0,0.0,0.0
2026-02-11,android,120240257805260572,,1,0.0,0.0,0.0
2026-02-11,android,120237593576510510,03-US-CBT1-mvp素材,1,88.18,9334.0,79.0
2026-02-12,android,120239366594720510,09-BR-CBT1-PIC,1,298.56,207106.0,4217.0
2026-02-12,android,120239366394730510,08-BR-CBT1-VID,1,113.38,65436.0,932.0
2026-02-12,android,,,1,0.0,0.0,0.0
2026-02-12,android,,,1,0.0,0.0,0.0
2026-02-12,android,,,1,0.0,0.0,0.0
2026-02-12,android,,,1,0.0,0.0,0.0
2026-02-12,android,6931593682152,,1,0.0,0.0,0.0
2026-02-12,android,120241467475180572,,1,0.0,0.0,0.0
2026-02-12,android,6931591409752,,1,0.0,0.0,0.0
2026-02-12,android,,,1,0.0,0.0,0.0
2026-02-12,android,6939195938352,,1,0.0,0.0,0.0
2026-02-12,android,6939217868352,,1,0.0,0.0,0.0
2026-02-12,android,6939217868352,,1,0.0,0.0,0.0
2026-02-12,android,6941413175152,,1,0.0,0.0,0.0
2026-02-12,android,120238648236360510,02-US-CBT1-VID,1,1063.81,47951.0,999.0
2026-02-13,android,,,1,0.0,0.0,0.0
2026-02-13,android,120241467475180572,,1,0.0,0.0,0.0
2026-02-13,android,120240257805260572,,1,0.0,0.0,0.0
2026-02-13,android,6941413175152,,1,0.0,0.0,0.0
2026-02-13,android,6939217868352,,1,0.0,0.0,0.0
2026-02-13,android,120238607155630510,01-US-CBT1-PIC,1,1538.84,165848.0,2135.0
2026-02-13,android,6970072321780,,1,0.0,0.0,0.0
2026-02-13,android,120238648236360510,02-US-CBT1-VID,1,1063.81,47951.0,999.0
2026-02-13,android,6970072321780,,1,0.0,0.0,0.0
2026-02-13,android,,,1,0.0,0.0,0.0
2026-02-14,android,,,1,0.0,0.0,0.0
2026-02-14,android,,,1,0.0,0.0,0.0
2026-02-14,android,120241467475180572,,1,0.0,0.0,0.0
2026-02-14,android,,,1,0.0,0.0,0.0
2026-02-14,android,6939195938352,,1,0.0,0.0,0.0
2026-02-14,android,120240257805260572,,1,0.0,0.0,0.0
2026-02-14,android,6939217868352,,1,0.0,0.0,0.0
2026-02-14,android,120238607155630510,01-US-CBT1-PIC,1,1538.84,165848.0,2135.0
2026-02-14,android,6970072321780,,1,0.0,0.0,0.0
2026-02-14,android,,,1,0.0,0.0,0.0
2026-02-15,android,120239366394730510,08-BR-CBT1-VID,1,113.38,65436.0,932.0
2026-02-15,android,120239366594720510,09-BR-CBT1-PIC,1,298.56,207106.0,4217.0
2026-02-15,android,,,1,0.0,0.0,0.0
2026-02-15,android,6931591409752,,1,0.0,0.0,0.0
2026-02-15,android,120241467475180572,,1,0.0,0.0,0.0
2026-02-15,android,6931591409752,,1,0.0,0.0,0.0
2026-02-15,android,6931593682152,,1,0.0,0.0,0.0
2026-02-15,android,120241467475180572,,1,0.0,0.0,0.0
2026-02-15,android,6939195938352,,1,0.0,0.0,0.0
2026-02-15,android,120238648236360510,02-US-CBT1-VID,1,1063.81,47951.0,999.0
2026-02-15,android,6970072321780,,1,0.0,0.0,0.0
2026-02-15,android,120238648236360510,02-US-CBT1-VID,1,1063.81,47951.0,999.0
2026-02-16,android,120239366394730510,08-BR-CBT1-VID,1,113.38,65436.0,932.0
2026-02-16,android,120239366594720510,09-BR-CBT1-PIC,1,298.56,207106.0,4217.0
2026-02-16,android,,,1,0.0,0.0,0.0
2026-02-16,android,,,1,0.0,0.0,0.0
2026-02-16,android,6931591409752,,1,0.0,0.0,0.0
2026-02-16,android,6931591409752,,1,0.0,0.0,0.0
2026-02-16,android,120241467475180572,,1,0.0,0.0,0.0
2026-02-16,android,6931593682152,,1,0.0,0.0,0.0
2026-02-16,android,6939195938352,,1,0.0,0.0,0.0
2026-02-16,android,6939217868352,,1,0.0,0.0,0.0
2026-02-16,android,120238648236360510,02-US-CBT1-VID,1,1063.81,47951.0,999.0
2026-02-16,android,6970072321780,,1,0.0,0.0,0.0
2026-02-17,android,,,1,0.0,0.0,0.0
2026-02-17,android,,,1,0.0,0.0,0.0
2026-02-17,android,,,1,0.0,0.0,0.0
2026-02-17,android,,,1,0.0,0.0,0.0
2026-02-17,android,,,1,0.0,0.0,0.0
2026-02-19,android,,,1,0.0,0.0,0.0
2026-02-20,android,,,1,0.0,0.0,0.0
2026-02-20,android,,,1,0.0,0.0,0.0
2026-02-20,android,,,1,0.0,0.0,0.0
2026-02-20,android,,,1,0.0,0.0,0.0
2026-02-20,android,,,1,0.0,0.0,0.0
2026-02-21,android,,,1,0.0,0.0,0.0
2026-02-21,android,,,1,0.0,0.0,0.0
2026-02-22,android,,,1,0.0,0.0,0.0
2026-02-22,android,,,1,0.0,0.0,0.0
2026-02-22,android,,,1,0.0,0.0,0.0
2026-02-22,android,,,1,0.0,0.0,0.0
2026-02-23,android,,,1,0.0,0.0,0.0
2026-02-23,android,,,1,0.0,0.0,0.0
2026-02-25,android,,,1,0.0,0.0,0.0
2026-02-25,android,,,1,0.0,0.0,0.0
2026-02-25,android,,,1,0.0,0.0,0.0
2026-02-26,android,,,1,0.0,0.0,0.0
2026-02-26,android,,,1,0.0,0.0,0.0
2026-02-26,android,,,1,0.0,0.0,0.0
2026-02-27,android,,,1,0.0,0.0,0.0
2026-02-28,android,,,1,0.0,0.0,0.0
2026-02-28,android,,,1,0.0,0.0,0.0
2026-02-03,android,120238770649640510,11-ID-技术测试,0,103.26,118148.0,3189.0
2026-02-03,android,120237598152320510,ID_MAI-技术测试,0,7.97,14226.0,226.0
2026-02-09,android,120239366394730510,08-BR-CBT1-VID,0,113.38,65436.0,932.0
2026-02-09,android,120239366594720510,09-BR-CBT1-PIC,0,298.56,207106.0,4217.0
2026-02-09,android,6931591409752,,0,0.0,0.0,0.0
2026-02-09,android,6931593682152,,0,0.0,0.0,0.0
2026-02-09,android,120241467475180572,,0,0.0,0.0,0.0
2026-02-09,android,6939195938352,,0,0.0,0.0,0.0
2026-02-09,android,6939217868352,,0,0.0,0.0,0.0
2026-02-09,android,120240257805260572,,0,0.0,0.0,0.0
2026-02-09,android,120238607155630510,01-US-CBT1-PIC,0,1538.84,165848.0,2135.0
2026-02-09,android,120238648236360510,02-US-CBT1-VID,0,1063.81,47951.0,999.0
2026-02-09,android,120237593576510510,03-US-CBT1-mvp素材,0,88.18,9334.0,79.0
2026-02-09,android,6970072321780,,0,0.0,0.0,0.0
2026-02-10,android,120239366594720510,09-BR-CBT1-PIC,0,298.56,207106.0,4217.0
2026-02-10,android,6931591409752,,0,0.0,0.0,0.0
2026-02-10,android,6931593682152,,0,0.0,0.0,0.0
2026-02-10,android,120241467475180572,,0,0.0,0.0,0.0
2026-02-10,android,6939195938352,,0,0.0,0.0,0.0
2026-02-10,android,6939217868352,,0,0.0,0.0,0.0
2026-02-10,android,120240257805260572,,0,0.0,0.0,0.0
2026-02-10,android,6941413175152,,0,0.0,0.0,0.0
2026-02-10,android,120238607155630510,01-US-CBT1-PIC,0,1538.84,165848.0,2135.0
2026-02-10,android,120238648236360510,02-US-CBT1-VID,0,1063.81,47951.0,999.0
2026-02-10,android,6970072321780,,0,0.0,0.0,0.0
