day,os_name,country,events,campaign_id,creative_id_network,creative_network,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长
2026/2/10,android,BR,0,120239366594720510,120239423107460510,PIC五图04-英语,120239423107460510,PIC五图04-英语,0.47,112,0,0,0,428,13,0,0,1
2026/2/9,android,BR,0,120239366594720510,120239423107460510,PIC五图04-英语,120239423107460510,PIC五图04-英语,56.6,96,0,0,0,46700,1007,25,11,2
2026/2/9,android,BR,0,120239366394730510,120239409035370510,VID25-合成合成合成-Vincent-英语,120239409035370510,VID25-合成合成合成-Vincent-英语,57.49,68,0,0,0,34387,607,3231,1669,3
2026/2/10,android,BR,0,120239366594720510,120239366594860510,PIC21-合成火法师-Vincent-英语,120239366594860510,PIC21-合成火法师-Vincent-英语,0.23,58,0,0,0,290,3,0,0,0
2026/2/9,android,BR,0,120239366594720510,120239366594860510,PIC21-合成火法师-Vincent-英语,120239366594860510,PIC21-合成火法师-Vincent-英语,40.74,54,0,0,0,38497,672,2,1,3
2026/2/10,android,KR,0,6931591409752,6939853826352,PIC五图01-韩语,,,0,48,0,0,0,0,0,0,0,0
2026/2/9,android,BR,0,120239366594720510,120239366594740510,PIC34-神族阵容-Vincent-英语,120239366594740510,PIC34-神族阵容-Vincent-英语,32.97,45,0,0,0,19730,480,0,0,1
2026/2/10,android,KR,0,6931593682152,6939193504352,VID11-合成角色展示-Vincent-韩语,,,0,45,0,0,0,0,0,0,0,0
2026/2/10,android,US,0,6970072321780,6970282527780,VID11-合成角色展示-Vincent-通用,,,0,40,0,0,0,0,0,0,0,0
2026/2/9,android,BR,0,120239366594720510,120239531590770510,PIC34-神族阵容-Vincent-英语,120239531590770510,PIC34-神族阵容-Vincent-英语,28.81,39,0,0,0,18634,330,5,3,2
2026/2/9,android,KR,0,6931593682152,6939193504352,VID11-合成角色展示-Vincent-韩语,,,0,37,0,0,0,0,0,0,0,0
