计数项:creative_id_network,列标签,,,,,,,,,,,,
行标签,2026/2/3,2026/2/4,2026/2/5,2026/2/7,2026/2/9,2026/2/10,2026/2/11,2026/2/12,2026/2/13,2026/2/14,2026/2/15,2026/2/16,总计
120237593576530510,,,,,1,,,,,,,,1
120237596829780510,,,,,1,,,,,,,,1
120237596851810510,,,,,1,,1,,,,,,2
120237598152330510,1,,,,,,,,,,,,1
120237598152340510,1,,,,,,,,,,,,1
120237598152430510,1,,,,,,,,,,,,1
120237598152440510,1,,,,,,,,,,,,1
120237598152460510,1,,,,,,,,,,,,1
120237598152470510,1,,,,,,,,,,,,1
120237598152500510,1,,,,,,,,,,,,1
120237598152510510,1,,,,,,,,,,,,1
120237598152520510,1,,,,,,,,,,,,1
120237598152530510,1,,,,,,,,,,,,1
120237659770240510,,,,,1,1,,,,,,,2
120238607155660510,,,,,1,,,,,,,,1
120238607155690510,,,,,1,,,,,,,,1
120238607155710510,,,,,1,,,,,,,,1
120238607155720510,,,,,1,,,,,,,,1
120238607155730510,,,,,1,,,,,,,,1
120238648236390510,,,,,1,1,,,,,,,2
120238770649730510,1,,,,,,,,,,,,1
120238770649810510,1,1,,,,,,,,,,,2
120239024373200510,1,,,,,,,,,,,,1
120239024373210510,1,,,1,,,,,,,,,2
120239024373230510,1,1,,,,,,,,,,,2
120239024373240510,1,,,,,,,,,,,,1
120239024373250510,1,1,,,,,,,,,,,2
120239024373260510,1,1,,,,,,,,,,,2
120239150858810572,,,,,,1,,,,,,,1
120239279840120510,1,,,,,,,,,,,,1
120239279840130510,1,1,,,,,,,,,,,2
120239279840140510,1,,1,,,,,,,,,,2
120239279840150510,1,1,,,,,,,,,,,2
120239279840160510,1,1,,,,,,,,,,,2
120239294231690510,1,,,,,,,,,,,,1
120239294231700510,1,,,,,,,,,,,,1
120239294231720510,1,,,,,,,,,,,,1
120239294231730510,1,,,1,,,,,,,,,2
120239294231740510,1,,,,,,,,,,,,1
120239294231750510,1,,,,,,,,,,,,1
120239297880900510,1,1,,,,,,,,,,,2
120239297880920510,1,1,,,,,,,,,,,2
120239357471620510,,,,,1,1,,,,,,,2
120239357471640510,,,,,1,,,,,1,,,2
120239357471650510,,,,,1,,,,,,,,1
120239357471660510,,,,,1,1,,,,,,,2
120239357471670510,,,,,1,,,,,,,,1
120239357496490510,,,,,1,,,1,,,,,2
120239357533120510,,,,,1,,1,,,,,,2
120239357533130510,,,,,1,,,,,,,,1
120239357533140510,,,,,1,,,,,,,,1
120239357533150510,,,,,1,,,,,,,,1
120239357533160510,,,,,1,,,,,,,,1
120239358487270510,,,,,1,,1,,,,,,2
120239358520010510,,,,,1,,,,,,,,1
120239358530950510,,,,,,1,1,,,,,,2
120239358530960510,,,,,,1,1,,,,,,2
120239358530980510,,,,,,1,,,,1,,,2
120239366394760510,,,,,1,,,,,,,,1
120239366394770510,,,,,1,,,,,,,,1
120239366394780510,,,,,1,,,,,,,,1
120239366394790510,,,,,1,,,,,,,,1
120239366394800510,,,,,1,1,,,,,,,2
120239366394830510,,,,,1,,,,,,,,1
120239366594730510,,,,,1,1,,,,,,,2
120239366594740510,,,,,,1,,,1,,,,2
120239366594760510,,,,,1,,,,,,,,1
120239366594790510,,,,,1,1,,,,,,,2
120239366594800510,,,,,,1,,1,,,,,2
120239366594810510,,,,,,1,,1,,,,,2
120239366594820510,,,,,1,,,,,1,,,2
120239366594830510,,,,,1,,,,,,,,1
120239366594840510,,,,,1,1,,,,,,,2
120239366594850510,,,,,,1,,,,,,,1
120239366594860510,,,,,,1,1,,,,,,2
120239366594870510,,,,,,1,,,,,,,1
120239366594880510,,,,,,1,,,,,,,1
120239366594890510,,,,,1,1,,,,,,,2
120239366594900510,,,,,1,1,,,,,,,2
120239366594910510,,,,,1,1,,,,,,,2
120239366795310510,,,,,1,,1,,,,,,2
120239366795320510,,,,,1,1,,,,,,,2
120239366795330510,,,,,1,,,,,,,,1
120239366795350510,,,,,1,1,,,,,,,2
120239373825000510,,,,,1,,1,,,,,,2
120239408869010510,,,,,1,,,,,,,,1
120239408869020510,,,,,1,,,,,,,,1
120239408869050510,,,,,1,1,,,,,,,2
120239408982830510,,,,,1,1,,,,,,,2
120239409035370510,,,,,1,1,,,,,,,2
120239422701180510,,,,,1,1,,,,,,,2
120239422701190510,,,,,,1,,,,,,,1
120239422701200510,,,,,1,,1,,,,,,2
120239422701210510,,,,,1,,,,,,,,1
120239422701220510,,,,,,1,1,,,,,,2
120239423107420510,,,,,1,,,1,,,,,2
120239423107430510,,,,,,1,,,,,,,1
120239423107450510,,,,,,1,,,1,,,,2
120239423107460510,,,,,,1,1,,,,,,2
120239423540220510,,,,,,1,1,,,,,,2
120239423626760510,,,,,1,,,,,,,,1
120239504948630510,,,,,,1,1,,,,,,2
120239528904090510,,,,,1,1,,,,,,,2
120239528904100510,,,,,1,,,,,,,,1
120239528904110510,,,,,1,,,,,,,,1
120239528904120510,,,,,1,,,,,,,,1
120239528904130510,,,,,1,,1,,,,,,2
120239528904140510,,,,,1,,1,,,,,,2
120239531552690510,,,,,1,1,,,,,,,2
120239531552700510,,,,,1,,,,,,,,1
120239531552710510,,,,,1,,,,,,,,1
120239531552720510,,,,,1,1,,,,,,,2
120239531552730510,,,,,1,1,,,,,,,2
120239531590770510,,,,,1,1,,,,,,,2
120239531611030510,,,,,1,,,,,,,,1
120239554427840510,,,,,,1,,1,,,,,2
120240257805250572,,,,,,1,,1,,,,,2
120240257805270572,,,,,,1,,,,,,,1
120240257912910572,,,,,,1,,1,,,,,2
120241465869800572,,,,,,1,1,,,,,,2
120241465869820572,,,,,,1,,,,1,,,2
120241465869840572,,,,,,1,1,,,,,,2
120241467475140572,,,,,,1,,1,,,,,2
120241467560440572,,,,,,1,,,,,,1,2
120241467574950572,,,,,,1,,,,,,,1
120241468014060572,,,,,,1,,,,,,,1
120241468014200572,,,,,,1,,,,,1,,2
120241473277760572,,,,,,1,,,,,,,1
120241486368860572,,,,,,1,,,,,,,1
120241486390100572,,,,,,1,,,,1,,,2
120241501180390572,,,,,,1,1,,,,,,2
120241501180420572,,,,,,1,,,,,,,1
6931591409952,,,,,1,,,,,,,,1
6931592716752,,,,,1,,,,,,,,1
6931592749952,,,,,,1,1,,,,,,2
6931593311552,,,,,,1,,1,,,,,2
6931593368752,,,,,,1,,,,,,,1
6931593682752,,,,,1,,,,,,,,1
6939191252952,,,,,,1,1,,,,,,2
6939191253152,,,,,,1,1,,,,,,2
6939191253352,,,,,1,,,,,,,,1
6939191253552,,,,,1,,,,,,,,1
6939191253752,,,,,1,1,,,,,,,2
6939192111152,,,,,,1,,,,,,,1
6939192111552,,,,,,1,,,,,,1,2
6939192111752,,,,,,1,,,,,,,1
6939192111952,,,,,1,1,,,,,,,2
6939192112152,,,,,,1,,,,,,,1
6939192224152,,,,,,1,1,,,,,,2
6939192289152,,,,,1,,,,,,,,1
6939192289552,,,,,1,1,,,,,,,2
6939192289752,,,,,1,,,,,,,,1
6939192289952,,,,,1,,,,,,,,1
6939192290152,,,,,1,,,,,,,,1
6939192777152,,,,,1,,,,,,,,1
6939193162952,,,,,,1,1,,,,,,2
6939193287552,,,,,1,,,,,,,,1
6939193504352,,,,,,1,1,,,,,,2
6939193504952,,,,,1,1,,,,,,,2
6939195939752,,,,,1,,,,,,,,1
6939195940552,,,,,1,,,,,,,,1
6939195940752,,,,,1,,,,,,,,1
6939195940952,,,,,1,1,,,,,,,2
6939195941952,,,,,1,1,,,,,,,2
6939210113952,,,,,,1,,,,,,,1
6939210114152,,,,,,1,,,1,,,,2
6939210114352,,,,,1,1,,,,,,,2
6939210114552,,,,,1,,,,,,,,1
6939210114752,,,,,,1,1,,,,,,2
6939214269552,,,,,1,,,,,,,,1
6939214269752,,,,,1,,,1,,,,,2
6939214269952,,,,,1,,,,,1,,,2
6939214270152,,,,,1,,,,,,1,,2
6939214270352,,,,,1,,,,,,,,1
6939214283552,,,,,1,,,,,,,,1
6939216112352,,,,,1,1,,,,,,,2
6939216112552,,,,,1,1,,,,,,,2
6939216112752,,,,,1,1,,,,,,,2
6939216113152,,,,,,1,,,,,,,1
6939217869352,,,,,1,,,,,,,,1
6939219987752,,,,,1,1,,,,,,,2
6939220131752,,,,,1,,,,,,,,1
6939220323352,,,,,1,,,,,,,,1
6939220323752,,,,,1,1,,,,,,,2
6939220724952,,,,,1,1,,,,,,,2
6939220725352,,,,,,1,,,,,,,1
6939220725752,,,,,,1,,,1,,,,2
6939223232952,,,,,1,1,,,,,,,2
6939743275152,,,,,,1,1,,,,,,2
6939743275352,,,,,1,,,,,,,,1
6939743275552,,,,,,1,,,,,,1,2
6939743275752,,,,,1,,,,1,,,,2
6939743637352,,,,,1,,,,,,,,1
6939743637552,,,,,1,1,,,,,,,2
6939853825752,,,,,1,,,,,,,,1
6939853826152,,,,,,1,,,,,,,1
6939853826352,,,,,,1,,1,,,,,2
6939853826552,,,,,1,,,,,,,,1
6939853826752,,,,,1,,,,,,,,1
6939856067152,,,,,,1,,,1,,,,2
6939856067352,,,,,1,,,,,,,,1
6939856067552,,,,,1,,,,1,,,,2
6939856067952,,,,,1,1,,,,,,,2
6939858185152,,,,,,1,,,1,,,,2
6939859460752,,,,,1,,,,,,,,1
6939860601752,,,,,,1,,,,,,1,2
6941085524752,,,,,,1,1,,,,,,2
6941085525152,,,,,1,1,,,,,,,2
6941085525352,,,,,1,1,,,,,,,2
6941085525552,,,,,1,1,,,,,,,2
6941085952352,,,,,1,,,,,,,,1
6941085952552,,,,,1,,,,,,,,1
6941085952752,,,,,1,,,,,,,,1
6941085952952,,,,,1,,,,,,,,1
6941085953152,,,,,1,,1,,,,,,2
6941085953352,,,,,1,,,,,,,,1
6941086287352,,,,,1,1,,,,,,,2
6941086287752,,,,,1,1,,,,,,,2
6941086287952,,,,,1,,,,,,,,1
6941086288152,,,,,1,,,,,,,,1
6941086288352,,,,,1,,1,,,,,,2
6941086288552,,,,,1,1,,,,,,,2
6941086622552,,,,,1,1,,,,,,,2
6941086622752,,,,,1,1,,,,,,,2
6941086622952,,,,,1,,,,1,,,,2
6941086623152,,,,,1,1,,,,,,,2
6941352859352,,,,,,1,,,,1,,,2
6941352867552,,,,,,1,1,,,,,,2
6941353017152,,,,,,1,1,,,,,,2
6941353167752,,,,,,1,,,,,,,1
6941353952352,,,,,,1,,,,,,1,2
6941353952552,,,,,,1,,,,,,,1
6941353952752,,,,,,1,,,,,,,1
6941395932352,,,,,,1,,,,,,,1
6941395932552,,,,,,1,,,,,,,1
6941395932752,,,,,,1,,,,,,,1
6941413175352,,,,,,1,,,,,,,1
6941413175552,,,,,,1,1,,,,,,2
6941413175752,,,,,,1,1,,,,,,2
6941413175952,,,,,,1,1,,,,,,2
6941413176152,,,,,,1,,,,,,,1
6941413176352,,,,,,1,,,,,,,1
6941413176552,,,,,,1,1,,,,,,2
6941413176752,,,,,,1,,,,,1,,2
6941413176952,,,,,,1,,,,,,,1
6941413177152,,,,,,1,1,,,,,,2
6941413177352,,,,,,1,,,,,,,1
6941413177552,,,,,,1,,,,,,,1
6941413177952,,,,,,1,,,,,,,1
6941413178352,,,,,,1,,,,,,,1
6941413178552,,,,,,1,,1,,,,,2
6941413180352,,,,,,1,,,,,,,1
6941413180552,,,,,,1,,,,,,,1
6941413180752,,,,,,1,1,,,,,,2
6941413180952,,,,,,1,1,,,,,,2
6941413181152,,,,,,1,,,,,,,1
6941413182352,,,,,,1,,,,,,,1
6941413182552,,,,,,1,1,,,,,,2
6941413182752,,,,,,1,,1,,,,,2
6941413182952,,,,,,1,1,,,,,,2
6941413183152,,,,,,1,,,,,,,1
6941413183352,,,,,,1,,,,,1,,2
