日期,下载量,下载量,下载量,下载量,下载量,下载量,收入,收入,收入,收入,收入,收入
,HK,HK,MO,MO,TW,TW,HK,HK,MO,MO,TW,TW
,Android,iOS,Android,iOS,Android,iOS,Android,iOS,Android,iOS,Android,iOS
2025-10-29,,2322.0,,106.0,,4356.0,,984.29,,3.52,,961.3
2025-10-30,397.0,2130.0,84.0,135.0,4036.0,7711.0,0.0,1829.18,0.0,45.75,10.98,7554.11
2025-10-31,514.0,1619.0,31.0,137.0,3694.0,9022.0,0.0,3566.5400000000004,0.0,95.26,15.0,16907.6
2025-11-01,499.0,1786.0,30.0,144.0,3416.0,12184.0,713.44,4704.51,42.92,222.1,6202.59,29948.45
2025-11-02,530.0,2169.0,32.0,100.0,4321.0,5134.0,633.39,6649.32,44.01,240.69,4505.3,35676.149999999994
2025-11-03,545.0,1806.0,25.0,123.0,6686.0,3032.0,589.02,4985.26,36.43,214.32000000000002,6663.09,24982.61
2025-11-04,669.0,0.0,22.0,0.0,7191.0,1.0,786.61,91.75,52.48,0.91,4680.12,237.10000000000002
2025-11-05,508.0,0.0,18.0,0.0,4131.0,0.0,893.0,97.26,52.75,1.43,4968.54,247.48
2025-11-06,306.0,0.0,10.0,0.0,2273.0,0.0,877.14,100.17999999999999,51.72,1.09,5123.43,254.9
2025-11-07,375.0,0.0,15.0,0.0,2510.0,0.0,986.6,124.44,63.73,1.29,7368.51,318.47
2025-11-08,356.0,0.0,13.0,0.0,2054.0,0.0,1479.28,143.1,71.68,0.72,7766.01,245.22
2025-11-09,291.0,460.0,10.0,28.0,2116.0,1508.0,1715.39,8137.650000000001,63.84,107.91000000000001,7209.67,10892.160000000002
2025-11-10,295.0,520.0,10.0,37.0,1982.0,2809.0,1901.71,8740.769999999999,60.96,199.64,8496.45,30752.199999999997
2025-11-11,289.0,624.0,12.0,49.0,2030.0,1904.0,2201.89,10472.69,67.8,279.87,14349.62,37132.66
2025-11-12,268.0,901.0,11.0,48.0,1590.0,3542.0,2693.02,7694.33,66.2,328.16,9224.98,40781.350000000006
2025-11-13,248.0,762.0,8.0,90.0,1626.0,2191.0,2804.87,7154.51,64.59,363.17,11980.3,37135.89
2025-11-14,283.0,474.0,11.0,42.0,1500.0,3111.0,2639.98,6851.31,64.76,445.37,12266.92,52333.659999999996
2025-11-15,277.0,526.0,12.0,26.0,1230.0,2614.0,3083.15,8192.18,66.55,393.56,11873.67,42516.01
2025-11-16,205.0,640.0,10.0,48.0,1018.0,2766.0,2880.36,9051.69,45.16,439.21999999999997,11143.25,42940.15
2025-11-17,175.0,447.0,9.0,27.0,1065.0,2486.0,2548.58,11051.710000000001,55.47,303.65000000000003,9306.27,39112.58
2025-11-18,223.0,390.0,9.0,21.0,1662.0,2243.0,2198.79,5791.67,53.36,234.42,9468.95,35294.73
2025-11-19,161.0,384.0,7.0,13.0,656.0,1882.0,1668.57,5119.9,52.93,261.49,10042.0,43513.9
2025-11-20,128.0,265.0,4.0,15.0,671.0,1762.0,2201.78,7085.04,58.7,243.76999999999998,10329.23,35046.29
2025-11-21,133.0,237.0,5.0,28.0,695.0,1765.0,3138.86,7953.71,64.94,279.1,11836.04,55284.26
